"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592392989","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592392991","5","","Aggregated",0.00,0.00,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,5,0,16,501,8,1385,114
"1592392993","5","","Aggregated",0.00,0.00,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,5,0,16,501,8,1385,114
"1592392995","5","","Aggregated",0.00,0.00,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,5,0,16,501,8,1385,114
"1592392997","5","","Aggregated",0.00,0.00,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,5,0,16,501,8,1385,114
"1592392999","10","","Aggregated",0.62,0.00,32,32,1100,1100,1400,1400,1400,1400,1400,1400,1400,1400,9,0,12,286,8,1385,126
"1592393001","10","","Aggregated",0.62,0.00,20,24,32,32,1400,1400,1400,1400,1400,1400,1400,1400,12,0,16,219,8,1385,131
"1592393003","10","","Aggregated",0.90,0.00,18,20,24,32,1400,1400,1400,1400,1400,1400,1400,1400,13,0,16,204,8,1385,131
"1592393005","10","","Aggregated",0.70,0.00,18,20,24,32,52,52,52,52,52,52,52,52,14,0,16,193,8,1385,131
"1592393007","10","","Aggregated",0.90,0.00,20,24,37,37,52,980,980,980,980,980,980,980,17,0,18,219,8,1385,127
"1592393009","15","","Aggregated",1.10,0.00,24,27,37,37,52,980,980,980,980,980,980,980,18,0,18,208,8,1385,128
"1592393011","15","","Aggregated",1.10,0.00,37,52,730,730,980,1800,1800,1800,1800,1800,1800,1800,24,0,27,289,8,1783,123
"1592393013","15","","Aggregated",0.90,0.00,46,98,730,980,1800,3800,3800,3800,3800,3800,3800,3800,28,0,32,387,8,3754,119
"1592393015","15","","Aggregated",1.20,0.00,37,98,730,980,1800,3800,3800,3800,3800,3800,3800,3800,29,0,32,374,8,3754,118
"1592393017","15","","Aggregated",1.50,0.00,37,46,570,570,1800,3800,3800,3800,3800,3800,3800,3800,32,0,24,340,6,3754,119
"1592393019","20","","Aggregated",1.40,0.00,36,62,98,570,1800,3800,3800,3800,3800,3800,3800,3800,34,0,27,323,6,3754,121
"1592393021","20","","Aggregated",1.60,0.00,28,43,54,62,74,98,3800,3800,3800,3800,3800,3800,46,0,27,246,3,3754,126
"1592393023","20","","Aggregated",2.20,0.00,16,35,43,54,66,74,74,74,74,74,74,74,47,0,27,242,3,3754,126
"1592393025","20","","Aggregated",2.10,0.00,26,34,42,43,62,66,74,74,74,74,74,74,51,0,27,225,3,3754,127
"1592393027","20","","Aggregated",2.10,0.00,28,35,43,54,66,74,74,74,74,74,74,74,52,0,26,220,3,3754,127
"1592393029","25","","Aggregated",2.20,0.00,26,32,34,39,1100,1200,1200,1200,1200,1200,1200,1200,60,0,31,236,3,3754,126
"1592393031","25","","Aggregated",2.20,0.00,32,39,81,85,280,1100,1200,1200,1200,1200,1200,1200,67,0,32,217,3,3754,128
"1592393033","25","","Aggregated",2.30,0.00,34,81,280,310,1000,1100,1200,1200,1200,1200,1200,1200,74,0,32,237,3,3754,127
"1592393035","25","","Aggregated",2.10,0.00,34,43,88,280,990,1100,1200,1200,1200,1200,1200,1200,80,0,32,222,3,3754,128
"1592393037","25","","Aggregated",2.60,0.00,33,43,88,280,990,1100,1200,1200,1200,1200,1200,1200,84,0,32,212,3,3754,129
"1592393039","30","","Aggregated",3.00,0.00,27,33,37,48,650,990,1000,1000,1000,1000,1000,1000,93,0,31,194,3,3754,129
"1592393041","30","","Aggregated",3.20,0.00,27,32,33,37,310,990,1000,1000,1000,1000,1000,1000,97,0,29,186,2,3754,129
"1592393043","30","","Aggregated",3.00,0.00,23,27,31,32,37,48,48,48,48,48,48,48,106,0,27,172,2,3754,129
"1592393045","30","","Aggregated",3.80,0.00,14,23,27,27,42,48,48,48,48,48,48,48,111,0,27,165,2,3754,130
"1592393047","30","","Aggregated",3.30,0.00,14,23,25,27,32,48,48,48,48,48,48,48,115,0,25,159,2,3754,130
"1592393049","35","","Aggregated",3.20,0.00,14,24,27,29,42,810,1000,1000,1000,1000,1000,1000,126,0,25,166,2,3754,130
