"Method","Name","Error","Occurrences"
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1031 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6910a80978>: Failed to establish a new connection: [Errno 111] Connection refused',))",11
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1511 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6901139748>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1573 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68fa8af860>: Failed to establish a new connection: [Errno 111] Connection refused',))",13
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/434 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6902e93390>: Failed to establish a new connection: [Errno 111] Connection refused',))",11
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/372 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e7bcbe10>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1064 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f691013d400>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/689 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e6d35be0>: Failed to establish a new connection: [Errno 111] Connection refused',))",5
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/100 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69115f9d30>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/191 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69121773c8>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/176 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6910cb8d30>: Failed to establish a new connection: [Errno 111] Connection refused',))",17
