"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592137928","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592137930","100","","Aggregated",0.00,0.00,87,99,100,110,120,130,170,180,180,180,180,180,100,0,86,84,13,181,134
"1592137932","100","","Aggregated",0.00,0.00,87,99,100,110,120,130,170,180,180,180,180,180,100,0,86,84,13,181,134
"1592137934","100","","Aggregated",33.33,0.00,83,98,100,110,120,130,160,170,180,180,180,180,107,0,83,79,3,181,135
"1592137936","100","","Aggregated",20.00,0.00,70,92,100,100,120,130,160,170,180,180,180,180,131,0,70,69,2,181,136
"1592137938","105","","Aggregated",16.86,0.00,65,87,98,100,110,130,160,170,180,180,180,180,146,0,64,63,2,181,136
"1592137940","200","","Aggregated",14.89,0.00,64,85,99,100,130,150,180,220,300,300,300,300,270,0,64,68,2,296,136
"1592137942","200","","Aggregated",17.00,0.00,40,61,72,87,130,160,190,230,300,300,300,300,294,0,58,65,2,296,136
"1592137944","200","","Aggregated",17.70,0.00,36,54,71,82,120,150,180,220,300,300,300,300,324,0,50,60,2,296,136
"1592137946","200","","Aggregated",21.00,0.00,34,51,67,74,110,150,180,220,300,300,300,300,358,0,43,56,2,296,136
"1592137948","215","","Aggregated",22.70,0.00,17,27,29,30,33,36,44,47,54,54,54,54,400,0,35,52,2,296,136
"1592137950","300","","Aggregated",25.00,0.00,29,46,61,71,100,120,160,170,270,270,270,270,548,0,43,55,2,296,137
"1592137952","300","","Aggregated",27.50,0.00,28,41,59,68,100,120,160,170,270,270,270,270,588,0,37,52,2,296,137
"1592137954","300","","Aggregated",29.40,0.00,28,37,56,66,99,120,160,170,270,270,270,270,643,0,33,49,2,296,137
"1592137956","300","","Aggregated",31.70,0.00,24,36,54,63,94,120,150,160,270,270,270,270,699,0,31,46,2,296,137
"1592137958","313","","Aggregated",34.00,0.00,12,20,25,28,33,40,55,67,91,91,91,91,759,0,29,44,2,296,137
"1592137960","400","","Aggregated",36.20,0.00,24,33,43,50,79,110,160,180,230,230,230,230,924,0,31,46,2,296,136
"1592137962","400","","Aggregated",37.70,0.00,24,33,43,50,79,100,160,180,230,230,230,230,991,0,30,44,2,296,136
"1592137964","400","","Aggregated",38.30,0.00,23,32,42,50,78,100,160,180,230,230,230,230,1052,0,29,42,2,296,136
"1592137966","400","","Aggregated",41.10,0.00,21,31,41,47,77,100,160,180,230,230,230,230,1123,0,28,41,2,296,136
"1592137968","449","","Aggregated",42.30,0.00,12,18,24,27,38,48,63,64,120,120,120,120,1229,0,26,39,2,296,136
"1592137970","500","","Aggregated",45.50,0.00,16,30,45,64,150,180,230,250,260,260,260,260,1384,0,27,44,2,296,136
"1592137972","500","","Aggregated",45.80,0.00,16,31,44,59,150,180,220,250,260,260,260,260,1478,0,27,43,2,296,136
"1592137974","500","","Aggregated",48.30,0.00,17,31,45,59,140,180,220,250,260,260,260,260,1560,0,26,42,2,296,136
"1592137976","500","","Aggregated",50.40,0.00,15,31,48,63,140,180,220,240,260,260,260,260,1672,0,24,40,2,296,136
"1592137978","511","","Aggregated",54.40,0.00,13,21,29,32,48,64,86,95,130,130,130,130,1756,0,23,40,2,296,136
"1592137980","600","","Aggregated",54.10,0.00,27,45,65,77,110,130,210,240,270,270,270,270,1966,0,27,44,2,296,136
"1592137982","600","","Aggregated",58.30,0.00,28,48,68,78,110,130,190,240,270,270,270,270,2074,0,26,43,2,296,136
"1592137984","600","","Aggregated",60.00,0.00,23,41,58,74,110,130,190,240,270,270,270,270,2186,0,24,41,2,296,136
"1592137986","600","","Aggregated",62.30,0.00,18,36,55,72,110,130,190,230,270,270,270,270,2310,0,22,40,2,296,136
"1592137988","638","","Aggregated",64.00,0.00,12,20,26,32,45,71,86,100,150,150,150,150,2422,0,22,39,2,296,136
"1592137990","700","","Aggregated",65.20,0.00,14,27,38,48,80,100,150,190,310,310,310,310,2633,0,23,40,2,314,136
"1592137992","700","","Aggregated",66.40,0.00,14,27,38,47,80,100,150,190,310,310,310,310,2769,0,22,39,2,314,136
"1592137994","700","","Aggregated",69.30,0.00,13,26,38,47,79,100,150,190,310,310,310,310,2900,0,21,38,2,314,136
"1592137996","700","","Aggregated",71.60,0.00,14,27,38,49,80,100,150,190,310,310,310,310,3023,0,20,37,2,314,136
"1592137998","742","","Aggregated",71.30,0.00,11,14,20,26,41,53,68,80,110,110,110,110,3165,0,19,36,2,314,136
"1592138000","800","","Aggregated",73.40,0.00,13,24,36,45,78,110,140,170,290,290,290,290,3395,0,20,37,2,314,136
"1592138002","800","","Aggregated",75.30,0.00,13,23,35,43,74,110,140,170,290,290,290,290,3541,0,18,36,2,314,136
"1592138004","800","","Aggregated",76.70,0.00,14,25,36,44,73,110,140,170,290,290,290,290,3699,0,18,36,2,314,136
"1592138006","800","","Aggregated",78.90,0.00,14,24,37,45,74,110,140,170,290,290,290,290,3853,0,18,35,2,314,136
"1592138008","856","","Aggregated",82.00,0.00,11,16,21,25,45,58,74,82,120,120,120,120,4028,0,17,34,2,314,136
"1592138010","900","","Aggregated",85.60,0.00,12,20,31,41,120,180,230,340,420,420,420,420,4248,0,17,37,2,416,136
"1592138012","900","","Aggregated",86.70,0.00,13,20,32,44,120,180,230,340,420,420,420,420,4412,0,17,36,2,416,136
"1592138014","900","","Aggregated",86.50,0.00,13,21,35,47,140,180,230,340,420,420,420,420,4606,0,16,36,2,416,136
"1592138016","900","","Aggregated",91.40,0.00,12,18,27,40,120,180,230,340,420,420,420,420,4783,0,16,35,2,416,136
"1592138018","942","","Aggregated",93.80,0.00,11,16,23,27,45,58,110,150,250,250,250,250,4976,0,16,35,2,416,136
"1592138020","1000","","Aggregated",93.60,0.00,13,24,35,42,65,110,170,210,480,480,480,480,5231,0,16,35,2,481,136
"1592138022","1000","","Aggregated",96.50,0.00,12,20,31,39,62,96,160,190,480,480,480,480,5418,0,15,35,2,481,136
"1592138024","1000","","Aggregated",101.40,0.00,13,22,33,39,64,97,160,190,480,480,480,480,5590,0,15,34,2,481,136
"1592138026","1000","","Aggregated",97.50,0.00,15,25,35,42,65,96,160,190,480,480,480,480,5796,0,15,34,2,481,136
"1592138028","1042","","Aggregated",99.60,0.00,12,18,24,30,54,85,100,110,210,210,210,210,6014,0,15,33,2,481,136
"1592138030","1100","","Aggregated",104.60,0.00,13,21,35,46,100,180,240,270,350,360,360,360,6304,0,15,35,2,481,136
"1592138032","1100","","Aggregated",107.70,0.00,13,21,31,42,100,180,240,270,350,360,360,360,6493,0,15,35,2,481,136
"1592138034","1100","","Aggregated",106.20,0.00,13,21,33,44,99,180,240,270,350,360,360,360,6704,0,15,34,2,481,136
"1592138036","1100","","Aggregated",111.40,0.00,14,23,38,54,100,180,240,270,350,360,360,360,6940,0,15,34,2,481,136
"1592138038","1142","","Aggregated",114.60,0.00,12,19,24,29,50,69,82,100,190,190,190,190,7156,0,15,34,2,481,136
"1592138040","1200","","Aggregated",114.20,0.00,16,26,40,51,83,130,200,260,340,340,340,340,7457,0,15,35,2,481,136
"1592138042","1200","","Aggregated",115.20,0.00,18,33,47,57,88,130,200,250,340,340,340,340,7677,0,15,35,2,481,136
"1592138044","1200","","Aggregated",118.10,0.00,17,31,45,55,87,120,200,250,340,340,340,340,7915,0,15,34,2,481,136
"1592138046","1200","","Aggregated",120.50,0.00,14,26,40,52,87,120,180,250,340,340,340,340,8166,0,15,34,2,481,136
"1592138048","1241","","Aggregated",121.40,0.00,12,21,32,41,65,88,110,120,150,160,160,160,8390,0,15,34,2,481,136
"1592138050","1300","","Aggregated",123.40,0.00,13,27,46,59,110,140,180,250,320,370,370,370,8728,0,15,35,2,481,136
"1592138052","1300","","Aggregated",126.80,0.00,11,19,32,48,100,140,180,250,320,370,370,370,8976,0,15,34,2,481,136
"1592138054","1300","","Aggregated",129.60,0.00,11,19,29,42,100,140,180,250,320,370,370,370,9229,0,14,34,2,481,136
"1592138056","1300","","Aggregated",130.20,0.00,11,19,29,42,100,140,180,250,320,370,370,370,9476,0,14,33,2,481,136
"1592138058","1341","","Aggregated",131.70,0.00,10,13,17,21,39,63,110,210,340,350,350,350,9716,0,14,33,2,481,136
"1592138060","1400","","Aggregated",134.70,0.00,12,19,32,53,190,270,330,370,530,550,550,550,10100,0,14,37,2,552,136
"1592138062","1400","","Aggregated",135.20,0.00,11,17,28,44,180,260,320,370,530,550,550,550,10375,0,14,36,2,552,136
"1592138064","1400","","Aggregated",138.30,0.00,11,18,31,52,180,260,320,370,530,550,550,550,10666,0,14,35,2,552,136
"1592138066","1400","","Aggregated",143.30,0.00,12,19,34,56,180,260,320,370,530,550,550,550,10892,0,14,35,2,552,136
"1592138068","1451","","Aggregated",142.80,0.00,10,14,19,23,49,65,91,130,200,220,220,220,11220,0,14,35,2,552,136
"1592138070","1500","","Aggregated",144.90,0.00,12,20,35,50,86,130,170,210,360,370,370,370,11580,0,14,36,2,552,136
"1592138072","1500","","Aggregated",148.60,0.00,13,21,34,48,86,130,170,210,360,370,370,370,11879,0,14,35,2,552,136
