"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592140117","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592140119","100","","Aggregated",0.00,0.00,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,100,4,1100,1081,943,1175,142
"1592140121","100","","Aggregated",0.00,0.00,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,100,4,1100,1081,943,1175,142
"1592140123","100","","Aggregated",0.00,0.00,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,100,4,1100,1081,943,1175,142
"1592140125","100","","Aggregated",16.67,0.67,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,119,4,1100,914,11,1175,139
"1592140127","111","","Aggregated",13.25,0.50,1000,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,139,4,1000,787,10,1175,139
"1592140129","200","","Aggregated",12.70,0.40,520,1000,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,257,4,530,609,9,1175,136
"1592140131","200","","Aggregated",23.50,0.40,300,460,500,520,550,570,610,620,640,640,640,640,277,4,510,567,9,1175,135
"1592140133","200","","Aggregated",16.90,0.00,110,430,470,500,540,570,610,610,640,640,640,640,309,4,470,512,9,1175,135
"1592140135","200","","Aggregated",19.60,0.00,73,410,470,500,540,560,610,610,640,640,640,640,341,4,430,466,9,1175,135
"1592140137","205","","Aggregated",22.20,0.00,48,340,460,480,540,560,610,610,640,640,640,640,383,4,270,417,8,1175,135
"1592140139","300","","Aggregated",23.50,0.00,46,230,290,330,400,460,470,480,500,500,500,500,520,4,280,376,8,1175,135
"1592140141","300","","Aggregated",25.40,0.00,39,150,270,310,390,450,470,480,500,500,500,500,570,4,240,344,8,1175,134
"1592140143","300","","Aggregated",27.70,0.00,30,85,250,300,390,440,470,480,500,500,500,500,622,4,94,317,7,1175,134
"1592140145","300","","Aggregated",30.00,0.00,26,70,250,300,380,440,470,480,500,500,500,500,664,4,61,298,7,1175,134
"1592140147","305","","Aggregated",31.70,0.00,25,57,240,280,380,430,470,480,500,500,500,500,735,4,45,272,7,1175,134
