"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592157219","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592157221","237","","Aggregated",0.00,0.00,38,70,85,99,120,140,180,200,250,250,250,250,233,0,44,55,4,250,125
"1592157223","470","","Aggregated",97.00,0.00,39,67,81,97,120,160,200,260,1800,1800,1800,1800,463,0,41,65,3,1766,214
"1592157225","695","","Aggregated",108.75,0.00,52,88,120,140,250,340,430,770,1800,1800,1800,1800,658,0,49,95,2,1766,187
"1592157227","930","","Aggregated",106.67,0.00,71,110,140,180,280,340,420,470,1800,1800,1800,1800,946,0,68,107,2,1766,167
"1592157229","1161","","Aggregated",112.50,0.00,100,180,250,290,400,530,690,810,1700,1800,1800,1800,1202,0,96,162,2,1766,159
"1592157231","1300","","Aggregated",116.80,0.00,220,340,450,530,700,820,980,1100,1600,1800,1800,1800,1463,0,130,244,2,1766,153
"1592157233","1300","","Aggregated",126.80,0.00,280,420,540,620,800,1000,1200,1400,1700,6500,6500,6500,1753,0,140,270,2,6534,156
"1592157235","1300","","Aggregated",128.50,0.00,310,500,610,660,840,1000,1200,1400,1700,6500,6500,6500,1872,0,130,267,2,6534,154
"1592157237","1300","","Aggregated",122.60,0.00,550,760,920,1000,1300,1500,1800,2000,8000,9200,9200,9200,2118,0,180,378,2,9197,163
"1592157239","1300","","Aggregated",116.90,0.00,780,1000,1200,1200,1400,1700,1900,2000,8000,9200,9200,9200,2437,0,270,467,2,9197,158
"1592157241","1300","","Aggregated",118.70,0.00,780,1000,1200,1200,1400,1700,2000,2100,12000,12000,12000,12000,2754,0,290,493,2,12497,175
"1592157243","1300","","Aggregated",127.30,0.00,780,1000,1200,1200,1400,1700,2000,2200,12000,12000,12000,12000,2974,0,250,474,2,12497,185
"1592157245","1300","","Aggregated",120.40,0.00,500,860,1100,1200,1400,1700,1900,2100,12000,12000,12000,12000,3214,0,240,457,2,12497,185
