"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592124238","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592124240","100","","Aggregated",0.00,0.00,150,170,180,190,200,210,230,250,250,250,250,250,100,0,150,146,40,245,132
"1592124242","100","","Aggregated",0.00,0.00,150,170,180,190,200,210,230,250,250,250,250,250,100,0,150,146,40,245,132
"1592124244","100","","Aggregated",25.00,0.00,150,170,180,190,200,210,220,230,250,250,250,250,108,0,150,136,7,245,132
"1592124246","100","","Aggregated",17.17,0.00,130,160,170,180,200,210,220,230,250,250,250,250,127,0,130,119,7,245,133
"1592124248","104","","Aggregated",15.62,0.00,110,150,170,180,200,210,220,230,250,250,250,250,149,0,110,104,2,245,133
"1592124250","200","","Aggregated",14.10,0.00,130,160,180,190,210,230,250,270,290,290,290,290,269,0,130,119,2,286,132
"1592124252","200","","Aggregated",16.40,0.00,60,140,170,180,220,240,260,270,290,290,290,290,291,0,120,112,2,286,133
"1592124254","200","","Aggregated",18.70,0.00,45,120,160,180,210,240,260,270,290,290,290,290,328,0,100,101,2,286,133
"1592124256","200","","Aggregated",21.30,0.00,39,110,160,170,210,240,260,270,290,290,290,290,357,0,82,95,2,286,133
"1592124258","213","","Aggregated",22.60,0.00,13,22,28,31,36,47,57,58,100,100,100,100,396,0,54,87,2,286,133
"1592124260","300","","Aggregated",24.60,0.00,30,72,99,120,250,280,320,330,360,360,360,360,544,0,74,95,2,357,134
"1592124262","300","","Aggregated",26.70,0.00,27,59,93,110,230,280,320,330,360,360,360,360,590,0,56,89,2,357,134
"1592124264","300","","Aggregated",29.30,0.00,28,56,88,110,210,270,320,320,360,360,360,360,646,0,44,83,2,357,133
"1592124266","300","","Aggregated",31.30,0.00,27,53,85,100,200,270,320,320,360,360,360,360,695,0,36,79,2,357,134
"1592124268","324","","Aggregated",33.00,0.00,13,23,31,34,48,63,81,110,130,130,130,130,766,0,32,73,2,357,133
"1592124270","400","","Aggregated",35.20,0.00,15,25,30,34,45,58,68,79,130,130,130,130,915,0,28,65,2,357,133
"1592124272","400","","Aggregated",37.50,0.00,13,20,27,31,40,51,68,79,130,130,130,130,989,0,25,60,2,357,134
"1592124274","400","","Aggregated",38.90,0.00,13,20,27,30,40,49,59,67,79,79,79,79,1047,0,24,58,2,357,134
"1592124276","400","","Aggregated",40.20,0.00,12,18,24,28,36,46,58,61,79,79,79,79,1121,0,22,55,2,357,134
"1592124278","425","","Aggregated",42.60,0.00,10,13,18,23,32,40,57,60,67,67,67,67,1208,0,20,52,2,357,134
"1592124280","500","","Aggregated",43.40,0.00,12,21,26,30,43,55,67,110,160,160,160,160,1387,0,20,49,2,357,134
"1592124282","500","","Aggregated",45.70,0.00,12,20,26,29,42,54,67,110,160,160,160,160,1484,0,18,46,2,357,134
"1592124284","500","","Aggregated",48.90,0.00,10,17,22,26,37,52,67,110,160,160,160,160,1565,0,17,44,2,357,134
"1592124286","500","","Aggregated",51.00,0.00,9,15,22,26,38,52,67,90,160,160,160,160,1656,0,15,42,2,357,134
"1592124288","511","","Aggregated",52.70,0.00,8,11,14,17,28,37,53,59,90,90,90,90,1754,0,15,41,2,357,134
