"Method","Name","Error","Occurrences"
"GET","product_search","504 Server Error: Gateway Time-out for url: product_search",38
"GET","product_search","503 Server Error: Service Temporarily Unavailable for url: product_search",3964
"GET","product_search","500 Server Error:  for url: product_search",125
"GET","product_id","503 Server Error: Service Temporarily Unavailable for url: product_id",39355
"GET","product_search","404 Client Error:  for url: product_search",2
"GET","product_id","400 Client Error:  for url: product_id",2
"GET","product_id","502 Server Error: Bad Gateway for url: product_id",1107
"GET","product_id","500 Server Error:  for url: product_id",291
"GET","product_search","502 Server Error: Bad Gateway for url: product_search",189
"GET","product_id","503 Server Error:  for url: product_id",8
"GET","product_id","504 Server Error: Gateway Time-out for url: product_id",363
"GET","product_id","404 Client Error:  for url: product_id",32
