"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592125655","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592125657","100","","Aggregated",0.00,0.00,910,990,1000,1100,1400,1400,1500,1800,1800,1800,1800,1800,100,0,670,765,22,1832,256
"1592125659","100","","Aggregated",0.00,0.00,910,990,1000,1100,1400,1400,1500,1800,1800,1800,1800,1800,100,0,670,765,22,1832,256
"1592125661","100","","Aggregated",25.00,0.00,910,980,1000,1100,1400,1400,1500,1800,1800,1800,1800,1800,102,0,660,751,22,1832,254
"1592125663","100","","Aggregated",16.83,0.00,700,950,1000,1000,1200,1400,1500,1800,1800,1800,1800,1800,119,0,650,659,13,1832,235
"1592125665","103","","Aggregated",13.75,0.00,650,880,960,1000,1200,1400,1500,1500,1800,1800,1800,1800,142,0,520,559,2,1832,215
"1592125667","200","","Aggregated",13.60,0.00,330,740,970,1200,1600,1700,1700,1800,1800,1800,1800,1800,222,0,530,641,2,1832,178
"1592125669","200","","Aggregated",10.30,0.00,490,980,1500,1700,1900,2000,2300,2400,2400,2400,2400,2400,289,0,590,756,2,2375,166
"1592125671","200","","Aggregated",18.30,0.00,320,930,1400,1600,1900,2000,2300,2300,2400,2400,2400,2400,313,0,520,704,2,2375,206
"1592125673","200","","Aggregated",20.80,0.00,330,950,1400,1700,1900,2000,2300,2300,2400,2400,2400,2400,334,0,510,666,2,2375,244
"1592125675","218","","Aggregated",21.90,0.00,220,930,1400,1600,1900,2000,2300,2300,2400,2400,2400,2400,376,0,470,595,2,2375,231
"1592125677","300","","Aggregated",22.80,0.00,93,230,360,450,520,850,1100,1200,1900,1900,1900,1900,524,0,340,521,2,2375,226
"1592125679","300","","Aggregated",30.80,0.00,91,220,350,450,520,850,1100,1900,2100,2100,2100,2100,566,0,240,492,2,2375,269
"1592125681","300","","Aggregated",27.00,0.00,66,160,260,400,500,840,1100,1200,2100,2100,2100,2100,624,0,190,452,2,2375,278
"1592125683","300","","Aggregated",30.20,0.00,47,140,240,350,480,820,1100,1200,2100,2100,2100,2100,677,0,140,419,2,2375,266
"1592125685","305","","Aggregated",33.40,0.00,35,120,240,400,490,840,1100,1200,2100,2100,2100,2100,735,0,110,389,2,2375,255
"1592125687","400","","Aggregated",35.60,0.00,61,190,340,460,670,850,1000,1000,1300,1300,1300,1300,889,0,150,396,2,2375,232
"1592125689","400","","Aggregated",37.00,0.00,68,220,320,450,670,860,1000,1000,2400,2400,2400,2400,949,0,140,381,2,2393,270
"1592125691","400","","Aggregated",36.70,0.00,56,190,290,420,650,850,1000,1000,2400,2400,2400,2400,1024,0,110,356,2,2393,272
"1592125693","400","","Aggregated",39.50,0.00,61,180,280,410,640,850,1000,1000,2400,2400,2400,2400,1091,0,95,338,2,2393,263
"1592125695","458","","Aggregated",40.70,0.00,45,160,290,410,640,850,1000,1000,2400,2400,2400,2400,1179,0,82,319,2,2393,277
"1592125697","500","","Aggregated",43.10,0.00,110,390,820,980,1400,1600,1600,1700,2000,2000,2000,2000,1345,0,150,407,2,2393,258
"1592125699","500","","Aggregated",36.60,0.00,130,360,820,970,1400,1600,1700,2000,4500,4500,4500,4500,1442,0,130,398,2,4457,288
"1592125701","500","","Aggregated",49.20,0.00,190,500,820,970,1400,1600,1700,2000,4500,4500,4500,4500,1517,0,140,390,2,4457,279
"1592125703","500","","Aggregated",49.90,0.00,210,480,820,970,1400,1600,1700,2000,4500,4500,4500,4500,1605,0,120,373,2,4457,280
"1592125705","548","","Aggregated",49.70,0.00,180,400,780,930,1400,1600,1700,1900,4500,4500,4500,4500,1706,0,110,357,2,4457,271
"1592125707","600","","Aggregated",51.60,0.00,180,310,510,660,920,1200,1400,1700,4500,4500,4500,4500,1893,0,150,388,2,4457,256
