"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592126651","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592126653","100","","Aggregated",0.00,0.00,860,1200,1300,1300,1300,1500,1600,1600,1600,1600,1600,1600,83,0,860,883,215,1624,122
"1592126655","100","","Aggregated",25.00,0.00,1100,1300,1300,1600,2100,2300,3100,3100,3100,3100,3100,3100,100,0,1100,1114,215,3105,404
"1592126657","100","","Aggregated",24.75,0.00,1000,1300,1300,1500,2000,2200,2400,3100,3100,3100,3100,3100,103,0,1000,1085,11,3105,396
"1592126659","100","","Aggregated",16.67,0.00,920,1300,1300,1400,2000,2200,2400,3100,3100,3100,3100,3100,115,0,920,975,10,3105,368
"1592126661","105","","Aggregated",13.50,0.00,640,1200,1300,1300,2000,2200,2400,3100,3100,3100,3100,3100,135,0,640,836,8,3105,333
"1592126663","200","","Aggregated",12.80,0.00,610,980,1100,1100,1400,2200,2300,3100,3100,3100,3100,3100,257,0,640,774,8,3105,233
"1592126665","200","","Aggregated",14.80,0.00,290,640,1000,1100,1200,1300,1700,2500,3100,3100,3100,3100,282,0,610,720,7,3105,272
"1592126667","200","","Aggregated",17.40,0.00,260,610,690,1000,1100,1200,1500,1700,2500,2500,2500,2500,310,0,590,658,7,3105,259
"1592126669","200","","Aggregated",19.60,0.00,240,600,660,1000,1100,1200,1500,1700,2500,2500,2500,2500,338,0,480,608,7,3105,247
"1592126671","214","","Aggregated",22.00,0.00,220,590,660,1000,1100,1200,1500,1700,2500,2500,2500,2500,369,0,280,561,7,3105,237
"1592126673","300","","Aggregated",22.60,0.00,150,440,530,570,700,800,980,1100,2500,2500,2500,2500,513,0,450,532,7,3105,233
"1592126675","300","","Aggregated",28.50,0.00,120,320,520,550,700,770,980,1100,1800,1800,1800,1800,569,0,280,487,3,3105,247
