"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592127124","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592127126","100","","Aggregated",0.00,0.00,1600,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,8,0,1600,1536,1360,1750,2
"1592127128","100","","Aggregated",0.00,0.00,2000,2000,2000,2000,2100,2100,3000,3100,3100,3100,3100,3100,100,0,2000,1964,1360,3110,408
"1592127130","100","","Aggregated",0.00,0.00,2000,2000,2000,2000,2100,2100,3000,3100,3100,3100,3100,3100,100,0,2000,1964,1360,3110,408
"1592127132","100","","Aggregated",20.00,0.00,2000,2000,2000,2000,2100,2100,2100,3000,3100,3100,3100,3100,105,0,2000,1872,12,3110,395
"1592127134","111","","Aggregated",13.12,0.00,1900,2000,2000,2000,2100,2100,2100,3000,3100,3100,3100,3100,125,0,1900,1581,11,3110,352
"1592127136","200","","Aggregated",12.30,0.00,860,1000,1100,1100,1300,1400,1800,3000,3100,3100,3100,3100,245,0,1100,1218,11,3110,240
"1592127138","200","","Aggregated",22.40,0.00,760,930,1100,1100,1300,1400,1800,3000,3100,3100,3100,3100,273,0,1100,1106,9,3110,278
"1592127140","200","","Aggregated",16.80,0.00,450,880,1000,1100,1200,1300,1500,1800,2400,2400,2400,2400,297,0,1000,1022,9,3110,265
"1592127142","200","","Aggregated",18.80,0.00,250,850,940,1100,1100,1300,1400,1700,2400,2400,2400,2400,340,0,870,904,9,3110,288
"1592127144","227","","Aggregated",23.30,0.00,150,870,950,1100,1200,1300,1400,1700,2400,2400,2400,2400,365,0,790,847,8,3110,277
"1592127146","300","","Aggregated",23.80,0.00,230,880,1100,1200,1300,1400,1600,1600,1900,1900,1900,1900,464,0,900,887,8,3110,244
"1592127148","300","","Aggregated",22.50,0.00,470,940,1200,1200,1700,2000,2000,2100,2400,2400,2400,2400,561,0,870,870,6,3110,250
"1592127150","300","","Aggregated",28.20,0.00,370,920,1200,1200,1700,2000,2000,2100,2400,2400,2400,2400,598,0,790,819,6,3110,242
"1592127152","300","","Aggregated",30.10,0.00,290,900,1200,1200,1600,2000,2000,2100,2400,2400,2400,2400,642,0,540,768,3,3110,233
"1592127154","332","","Aggregated",29.40,0.00,160,870,1100,1200,1500,2000,2000,2000,2400,2400,2400,2400,703,0,350,709,3,3110,245
"1592127156","400","","Aggregated",33.40,0.00,110,250,310,420,810,1100,1200,1200,2400,2400,2400,2400,852,0,340,672,3,3110,224
"1592127158","400","","Aggregated",39.50,0.00,120,260,310,420,810,1100,1200,1200,2400,2400,2400,2400,914,0,290,634,3,3110,232
"1592127160","400","","Aggregated",35.50,0.00,130,250,310,420,800,1100,1200,1200,2400,2400,2400,2400,995,0,240,594,3,3110,223
"1592127162","400","","Aggregated",39.50,0.00,110,220,310,370,780,960,1200,1200,2400,2400,2400,2400,1085,0,190,552,2,3110,228
"1592127164","438","","Aggregated",43.30,0.00,73,150,250,360,800,1100,1200,1200,2400,2400,2400,2400,1165,0,160,518,2,3110,221
"1592127166","500","","Aggregated",44.70,0.00,100,310,520,700,1300,1500,1700,1700,1900,1900,1900,1900,1300,0,220,563,2,3110,211
"1592127168","500","","Aggregated",40.30,0.00,260,560,790,900,1400,1700,2300,2400,2600,2600,2600,2600,1424,0,280,583,2,3110,203
"1592127170","500","","Aggregated",48.00,0.00,230,560,800,900,1400,1700,2400,2400,4400,4400,4400,4400,1517,0,220,556,2,4413,217
"1592127172","500","","Aggregated",52.60,0.00,290,530,790,890,1400,1700,2400,2400,4400,4400,4400,4400,1606,0,210,533,2,4413,211
"1592127174","511","","Aggregated",52.40,0.00,260,560,790,880,1400,1700,2400,2400,4400,4400,4400,4400,1694,0,190,514,2,4413,207
