"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592132935","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592132937","20","","Aggregated",0.00,0.00,250,250,250,250,250,250,250,250,250,250,250,250,20,0,72,76,16,249,134
"1592132939","20","","Aggregated",0.00,0.00,250,250,250,250,250,250,250,250,250,250,250,250,20,0,72,76,16,249,134
"1592132941","20","","Aggregated",5.00,0.00,250,250,250,250,250,250,250,250,250,250,250,250,21,0,72,74,16,249,133
"1592132943","20","","Aggregated",4.00,0.00,200,200,250,250,250,250,250,250,250,250,250,250,22,0,72,80,16,249,127
"1592132945","30","","Aggregated",2.75,0.00,40,41,200,250,260,260,260,260,260,260,260,260,29,0,62,75,6,256,124
"1592132947","40","","Aggregated",2.60,0.00,130,150,150,160,250,310,380,380,380,380,380,380,53,0,79,100,6,375,124
"1592132949","40","","Aggregated",3.20,0.00,120,140,150,150,200,310,380,380,380,380,380,380,57,0,73,95,6,375,126
"1592132951","40","","Aggregated",3.30,0.00,130,150,150,170,260,310,380,380,380,380,380,380,61,0,79,100,6,375,122
"1592132953","40","","Aggregated",4.10,0.00,53,130,150,150,190,300,310,380,380,380,380,380,73,0,62,88,6,375,125
"1592132955","55","","Aggregated",4.60,0.00,44,130,150,150,190,300,380,380,380,380,380,380,81,0,55,81,6,375,126
"1592132957","60","","Aggregated",4.90,0.00,39,47,49,58,87,220,300,300,300,300,300,300,102,0,49,76,6,375,128
"1592132959","60","","Aggregated",4.80,0.00,31,45,49,57,140,250,250,300,300,300,300,300,117,0,47,72,6,375,126
"1592132961","60","","Aggregated",5.30,0.00,26,39,45,48,70,87,250,250,250,250,250,250,126,0,44,68,6,375,127
"1592132963","60","","Aggregated",6.10,0.00,30,39,47,48,87,140,250,250,250,250,250,250,135,0,43,67,6,375,126
"1592132965","73","","Aggregated",6.30,0.00,30,36,64,99,150,250,290,300,300,300,300,300,151,0,43,70,6,375,124
"1592132967","80","","Aggregated",7.20,0.00,38,85,140,180,300,370,420,430,430,430,430,430,185,0,46,85,6,427,124
"1592132969","80","","Aggregated",8.10,0.00,45,99,170,180,330,380,420,430,430,430,430,430,193,0,45,84,6,427,122
"1592132971","80","","Aggregated",8.10,0.00,44,96,170,180,330,380,420,430,430,430,430,430,205,0,44,82,6,427,121
"1592132973","80","","Aggregated",7.60,0.00,41,63,170,180,330,380,420,430,430,430,430,430,216,0,43,80,6,427,121
"1592132975","96","","Aggregated",7.90,0.00,29,56,170,180,330,380,420,430,430,430,430,430,235,0,40,76,6,427,122
"1592132977","100","","Aggregated",7.40,0.00,28,43,54,58,110,180,240,260,260,260,260,260,274,0,40,72,6,427,124
"1592132979","100","","Aggregated",8.30,0.00,28,43,54,58,110,230,240,260,260,260,260,260,291,0,39,72,6,427,122
"1592132981","100","","Aggregated",9.00,0.00,27,43,51,56,75,200,240,240,240,240,240,240,304,0,37,69,6,427,123
"1592132983","100","","Aggregated",10.20,0.00,28,39,51,55,77,190,240,240,240,240,240,240,323,0,36,68,6,427,123
"1592132985","120","","Aggregated",10.10,0.00,26,34,42,57,150,240,320,360,360,360,360,360,347,0,35,69,6,427,123
"1592132987","120","","Aggregated",11.60,0.00,32,47,140,150,200,240,320,360,630,630,630,630,382,0,36,72,6,633,160
"1592132989","120","","Aggregated",11.30,0.00,29,39,93,140,190,240,360,630,710,710,710,710,404,0,34,72,6,707,194
"1592132991","120","","Aggregated",11.60,0.00,30,47,130,150,190,250,360,630,710,710,710,710,426,0,34,71,6,707,189
"1592132993","120","","Aggregated",11.80,0.00,26,37,120,150,190,250,360,630,710,710,710,710,450,0,32,69,6,707,186
"1592132995","140","","Aggregated",12.80,0.00,26,37,66,150,190,220,350,630,710,710,710,710,477,0,32,68,6,707,182
"1592132997","140","","Aggregated",12.30,0.00,26,41,69,130,290,350,420,430,710,710,710,710,516,0,33,74,6,707,177
"1592132999","140","","Aggregated",12.60,0.00,25,37,62,80,290,310,420,420,430,430,430,430,548,0,31,72,6,707,175
"1592133001","140","","Aggregated",13.40,0.00,24,35,54,80,270,310,420,420,430,430,430,430,570,0,30,71,6,707,172
"1592133003","140","","Aggregated",14.10,0.00,24,36,62,80,270,310,420,420,430,430,430,430,596,0,30,69,6,707,170
"1592133005","160","","Aggregated",15.10,0.00,22,31,44,64,270,310,420,420,430,430,430,430,625,0,30,67,6,707,168
"1592133007","160","","Aggregated",14.60,0.00,28,38,59,74,190,230,300,330,550,550,550,550,668,0,31,70,6,707,165
"1592133009","160","","Aggregated",14.90,0.00,30,43,59,74,190,230,330,550,570,570,570,570,699,0,30,69,6,707,184
"1592133011","160","","Aggregated",15.60,0.00,29,40,52,66,120,220,310,550,570,570,570,570,733,0,30,67,6,707,181
"1592133013","160","","Aggregated",15.70,0.00,30,43,59,72,190,230,310,550,570,570,570,570,764,0,30,67,6,707,178
"1592133015","180","","Aggregated",15.70,0.00,27,38,48,64,200,230,310,550,570,570,570,570,798,0,30,66,6,707,176
"1592133017","180","","Aggregated",17.80,0.00,28,41,64,150,220,240,260,570,790,790,790,790,853,0,30,70,6,787,189
"1592133019","180","","Aggregated",18.60,0.00,30,44,110,170,220,250,260,310,790,790,790,790,878,0,30,70,6,787,186
"1592133021","180","","Aggregated",18.30,0.00,30,47,160,180,230,250,310,760,790,790,790,790,913,0,30,70,6,787,199
"1592133023","180","","Aggregated",18.50,0.00,28,42,97,170,220,250,290,760,790,790,790,790,948,0,29,68,6,787,197
"1592133025","200","","Aggregated",18.90,0.00,29,42,97,160,220,250,290,760,790,790,790,790,982,0,29,68,6,787,195
"1592133027","200","","Aggregated",18.20,0.00,28,37,73,93,200,220,320,370,760,760,760,760,1038,0,30,68,6,787,191
"1592133029","200","","Aggregated",18.90,0.00,26,33,50,74,140,210,320,370,760,760,760,760,1072,0,29,67,6,787,189
"1592133031","200","","Aggregated",18.20,0.00,26,33,50,63,110,210,360,450,490,490,490,490,1107,0,29,66,6,787,213
"1592133033","200","","Aggregated",19.10,0.00,27,36,57,69,110,210,370,490,530,530,530,530,1142,0,29,66,6,787,222
"1592133035","220","","Aggregated",19.10,0.00,27,44,66,82,160,210,370,490,850,850,850,850,1194,0,29,67,6,847,229
"1592133038","220","","Aggregated",19.20,0.00,26,57,79,100,180,230,510,810,850,850,850,850,1251,0,29,68,6,847,246
"1592133040","220","","Aggregated",20.70,0.00,24,51,82,120,180,230,510,810,850,850,850,850,1290,0,29,67,6,847,243
