"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592152149","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592152151","40","","Aggregated",0.00,0.00,840,870,880,880,890,890,910,910,910,910,910,910,40,0,840,845,747,907,131
"1592152153","40","","Aggregated",0.00,0.00,840,870,880,880,890,890,910,910,910,910,910,910,40,0,840,845,747,907,131
"1592152155","40","","Aggregated",0.00,0.00,840,870,880,880,890,890,910,910,910,910,910,910,40,0,840,845,747,907,131
"1592152157","40","","Aggregated",8.00,0.00,840,860,880,880,890,890,910,910,910,910,910,910,46,0,840,740,12,907,131
"1592152159","46","","Aggregated",5.86,0.00,820,850,880,880,890,890,910,920,920,920,920,920,55,0,820,640,11,918,388
"1592152161","80","","Aggregated",5.44,0.00,240,810,830,840,880,890,890,910,920,920,920,920,108,0,240,407,11,918,261
"1592152163","80","","Aggregated",6.10,0.00,120,200,220,230,250,300,300,920,920,920,920,920,117,0,220,380,11,918,250
"1592152165","80","","Aggregated",7.10,0.00,110,180,210,230,250,270,300,920,920,920,920,920,125,0,210,358,10,918,241
"1592152167","80","","Aggregated",8.50,0.00,84,170,210,220,250,300,720,920,920,920,920,920,143,0,170,323,8,918,321
"1592152169","86","","Aggregated",9.20,0.00,39,52,64,68,75,110,160,720,720,720,720,720,153,0,150,305,8,918,308
"1592152171","120","","Aggregated",9.70,0.00,75,200,240,260,330,410,450,720,720,720,720,720,209,0,190,279,8,918,258
"1592152173","120","","Aggregated",10.10,0.00,55,180,230,250,310,410,440,450,720,720,720,720,229,0,150,258,8,918,247
"1592152175","120","","Aggregated",11.00,0.00,58,180,230,260,320,410,450,720,1000,1000,1000,1000,246,0,120,246,5,1021,296
"1592152177","120","","Aggregated",12.20,0.00,49,140,210,240,300,400,440,450,1000,1000,1000,1000,268,0,82,228,3,1021,282
"1592152179","134","","Aggregated",12.60,0.00,31,41,45,49,61,82,100,1000,1000,1000,1000,1000,293,0,68,212,3,1021,269
"1592152181","160","","Aggregated",13.80,0.00,41,63,140,180,250,320,1000,1200,1200,1200,1200,1200,362,0,73,204,3,1228,356
"1592152183","160","","Aggregated",15.10,0.00,41,75,120,160,250,320,370,1200,1200,1200,1200,1200,386,0,68,194,3,1228,342
"1592152185","160","","Aggregated",15.90,0.00,36,73,120,160,250,320,360,1200,1200,1200,1200,1200,413,0,58,183,3,1228,328
"1592152187","160","","Aggregated",16.80,0.00,41,77,120,160,250,320,360,1200,1200,1200,1200,1200,438,0,54,175,3,1228,316
"1592152189","183","","Aggregated",16.90,0.00,22,40,44,49,77,110,140,1200,1200,1200,1200,1200,473,0,49,164,3,1228,302
"1592152191","200","","Aggregated",17.90,0.00,32,57,84,130,180,210,270,320,320,320,320,320,553,0,52,155,3,1228,276
"1592152193","200","","Aggregated",19.20,0.00,34,59,82,130,180,210,270,320,320,320,320,320,581,0,50,149,3,1228,268
"1592152195","200","","Aggregated",18.50,0.00,35,60,100,140,180,210,280,320,920,920,920,920,608,0,49,146,3,1228,286
"1592152197","200","","Aggregated",19.50,0.00,32,60,96,140,180,210,320,620,920,920,920,920,652,0,45,139,3,1228,295
"1592152199","216","","Aggregated",21.40,0.00,20,34,45,51,76,110,140,620,920,920,920,920,689,0,44,133,3,1228,287
"1592152201","240","","Aggregated",21.70,0.00,31,51,76,97,140,230,280,320,920,920,920,920,771,0,45,128,3,1228,269
"1592152203","240","","Aggregated",21.60,0.00,29,46,64,80,140,230,280,320,920,920,920,920,813,0,43,123,3,1228,262
"1592152205","240","","Aggregated",23.20,0.00,30,45,66,80,130,210,280,290,620,620,620,620,863,0,41,118,3,1228,254
"1592152207","240","","Aggregated",25.10,0.00,26,44,64,77,120,190,280,290,690,690,690,690,915,0,40,113,3,1228,262
"1592152209","280","","Aggregated",25.90,0.00,19,29,40,45,71,95,120,140,690,690,690,690,974,0,38,109,3,1228,253
"1592152211","280","","Aggregated",27.50,0.00,20,41,64,75,120,180,200,220,690,690,690,690,1043,0,38,107,3,1228,259
"1592152213","280","","Aggregated",27.20,0.00,20,40,55,70,130,180,200,220,690,690,690,690,1087,0,37,104,3,1228,253
"1592152215","280","","Aggregated",27.70,0.00,18,32,50,69,120,170,200,220,690,690,690,690,1152,0,34,99,2,1228,245
"1592152217","280","","Aggregated",28.50,0.00,16,30,47,68,120,170,200,220,680,680,680,680,1204,0,32,96,2,1228,253
"1592152219","320","","Aggregated",29.10,0.00,14,26,38,43,63,92,130,150,680,680,680,680,1266,0,33,94,2,1228,246
"1592152221","320","","Aggregated",29.50,0.00,19,36,46,55,120,170,220,240,930,930,930,930,1356,0,33,93,2,1228,248
"1592152223","320","","Aggregated",30.50,0.00,18,35,46,56,120,170,220,240,930,930,930,930,1420,0,32,90,2,1228,242
"1592152225","320","","Aggregated",31.40,0.00,23,38,50,65,120,170,220,240,930,930,930,930,1477,0,31,88,2,1228,247
