"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592145940","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592145942","40","","Aggregated",0.00,0.00,220,220,220,220,250,250,250,250,250,250,250,250,40,0,140,156,34,253,112
"1592145944","40","","Aggregated",0.00,0.00,220,220,220,220,250,250,250,250,250,250,250,250,40,0,140,156,34,253,112
"1592145946","40","","Aggregated",10.00,0.00,210,220,220,220,250,250,250,250,250,250,250,250,44,0,140,144,8,253,115
"1592145948","40","","Aggregated",6.67,0.00,200,210,220,220,220,250,250,250,250,250,250,250,49,0,130,132,2,253,114
"1592145950","44","","Aggregated",5.75,0.00,37,200,210,220,220,250,250,250,250,250,250,250,61,0,120,111,2,253,119
"1592145952","80","","Aggregated",5.70,0.00,80,110,120,130,220,220,250,650,650,650,650,650,112,0,94,101,2,649,247
"1592145954","80","","Aggregated",6.90,0.00,62,80,95,100,110,120,130,650,650,650,650,650,121,0,88,96,2,649,237
"1592145956","80","","Aggregated",7.60,0.00,44,74,92,100,110,120,130,650,650,650,650,650,133,0,80,88,2,649,227
"1592145958","80","","Aggregated",8.60,0.00,40,73,90,98,110,120,130,650,650,650,650,650,148,0,69,82,2,649,217
"1592145960","95","","Aggregated",9.70,0.00,27,31,36,44,100,120,130,650,650,650,650,650,169,0,51,75,2,649,205
"1592145962","120","","Aggregated",9.90,0.00,31,44,96,120,140,160,170,180,560,560,560,560,217,0,62,80,2,649,251
"1592145964","120","","Aggregated",10.10,0.00,30,39,66,110,140,160,170,180,560,560,560,560,234,0,47,75,2,649,241
"1592145966","120","","Aggregated",11.30,0.00,29,37,57,110,140,160,180,460,560,560,560,560,256,0,37,72,2,649,288
"1592145968","120","","Aggregated",12.00,0.00,30,39,64,110,140,160,180,460,560,560,560,560,274,0,36,69,2,649,276
"1592145970","148","","Aggregated",12.60,0.00,17,32,39,47,140,160,180,460,560,560,560,560,311,0,34,63,2,649,260
"1592145972","160","","Aggregated",13.70,0.00,25,36,48,55,71,96,110,120,460,460,460,460,364,0,35,61,2,649,241
"1592145974","160","","Aggregated",14.50,0.00,25,37,50,55,71,96,110,120,460,460,460,460,387,0,33,59,2,649,233
"1592145976","160","","Aggregated",15.00,0.00,28,37,48,53,67,88,110,120,120,120,120,120,422,0,32,56,2,649,224
"1592145978","160","","Aggregated",16.30,0.00,24,36,46,52,66,78,110,110,120,120,120,120,451,0,31,54,2,649,218
"1592145980","184","","Aggregated",17.30,0.00,17,29,34,37,49,67,88,110,120,120,120,120,482,0,30,51,2,649,212
"1592145982","200","","Aggregated",17.00,0.00,27,37,49,64,100,130,170,230,610,610,610,610,553,0,31,54,2,649,227
"1592145984","200","","Aggregated",18.60,0.00,22,35,45,55,94,130,170,230,610,610,610,610,591,0,30,52,2,649,243
"1592145986","200","","Aggregated",19.40,0.00,17,32,42,55,94,150,210,470,610,610,610,610,619,0,30,51,2,649,237
"1592145988","200","","Aggregated",19.50,0.00,16,31,39,51,92,130,170,230,610,610,610,610,656,0,29,49,2,649,231
"1592145990","232","","Aggregated",20.00,0.00,16,28,32,40,76,130,170,230,610,610,610,610,708,0,28,47,2,649,224
"1592145992","240","","Aggregated",21.30,0.00,22,32,45,61,120,130,170,200,470,470,470,470,782,0,29,49,2,649,214
"1592145994","240","","Aggregated",22.10,0.00,18,30,41,58,110,130,170,190,200,200,200,200,827,0,28,47,2,649,209
"1592145996","240","","Aggregated",23.40,0.00,17,30,41,55,110,130,170,190,200,200,200,200,865,0,28,46,2,649,205
"1592145998","240","","Aggregated",24.70,0.00,21,32,45,60,110,130,170,190,200,200,200,200,907,0,27,45,2,649,202
"1592146000","276","","Aggregated",24.60,0.00,17,33,43,48,110,130,150,170,200,200,200,200,965,0,28,44,2,649,198
"1592146002","280","","Aggregated",25.40,0.00,15,32,39,44,64,82,110,120,130,130,130,130,1045,0,28,44,2,649,192
"1592146004","280","","Aggregated",24.70,0.00,17,32,39,46,64,82,110,120,130,130,130,130,1089,0,27,43,2,649,189
"1592146006","280","","Aggregated",26.40,0.00,17,33,43,49,68,82,110,120,130,130,130,130,1153,0,27,42,2,649,185
"1592146008","280","","Aggregated",27.30,0.00,16,33,43,50,71,85,110,120,130,130,130,130,1204,0,25,41,2,649,183
"1592146010","320","","Aggregated",29.40,0.00,15,31,45,57,76,97,110,120,590,590,590,590,1281,0,25,41,2,649,200
"1592146012","320","","Aggregated",30.50,0.00,17,31,46,59,78,110,160,490,710,710,710,710,1357,0,25,42,2,714,216
"1592146014","320","","Aggregated",32.10,0.00,16,31,45,59,78,110,160,490,710,710,710,710,1409,0,23,41,2,714,213
"1592146016","320","","Aggregated",31.10,0.00,16,28,40,53,77,110,160,490,710,710,710,710,1468,0,22,41,2,714,209
"1592146018","320","","Aggregated",31.40,0.00,17,29,38,45,73,110,160,490,710,710,710,710,1534,0,22,40,2,714,205
"1592146020","360","","Aggregated",32.20,0.00,16,27,32,35,47,67,140,160,710,710,710,710,1605,0,22,39,2,714,201
"1592146022","360","","Aggregated",33.30,0.00,19,30,37,43,120,220,260,270,570,570,570,570,1702,0,23,42,2,714,205
"1592146024","360","","Aggregated",33.90,0.00,19,29,35,41,110,220,260,270,570,570,570,570,1773,0,22,41,2,714,202
"1592146026","360","","Aggregated",35.60,0.00,17,29,35,41,120,220,260,300,770,770,770,770,1836,0,21,41,2,773,207
"1592146028","360","","Aggregated",36.60,0.00,16,28,35,41,120,220,260,310,770,770,770,770,1902,0,20,40,2,773,211
"1592146030","400","","Aggregated",35.90,0.00,16,28,35,46,110,88,110,160,770,770,770,770,1982,0,20,40,2,773,208
"1592146033","400","","Aggregated",36.80,0.00,15,30,40,47,93,120,140,160,770,770,770,770,2078,0,20,41,2,773,204
"1592146035","400","","Aggregated",37.60,0.00,14,26,35,44,93,120,140,160,770,770,770,770,2166,0,19,39,2,773,201
"1592146037","400","","Aggregated",38.00,0.00,14,27,35,43,88,120,140,160,620,620,620,620,2250,0,18,39,2,773,198
"1592146039","400","","Aggregated",39.90,0.00,15,27,35,43,81,110,130,140,160,160,160,160,2318,0,18,38,2,773,196
"1592146041","440","","Aggregated",41.60,0.00,14,24,34,41,75,140,160,170,180,180,180,180,2420,0,18,39,2,773,193
"1592146043","440","","Aggregated",41.40,0.00,15,28,36,47,99,150,170,190,710,710,710,710,2499,0,18,39,2,773,197
"1592146045","440","","Aggregated",42.10,0.00,15,29,41,50,99,150,170,240,710,710,710,710,2595,0,18,39,2,773,200
"1592146047","440","","Aggregated",42.90,0.00,16,30,44,53,100,150,170,240,710,710,710,710,2675,0,18,38,2,773,197
"1592146049","440","","Aggregated",42.30,0.00,15,29,41,53,100,150,170,190,710,710,710,710,2756,0,17,38,2,773,195
"1592146051","480","","Aggregated",43.70,0.00,16,31,44,53,88,130,160,190,630,630,630,630,2880,0,18,38,2,773,197
"1592146053","480","","Aggregated",45.60,0.00,16,32,46,54,89,120,160,180,630,630,630,630,2976,0,18,38,2,773,194
"1592146055","480","","Aggregated",47.40,0.00,14,27,41,48,88,120,160,180,630,630,630,630,3072,0,17,38,2,773,197
"1592146057","480","","Aggregated",47.60,0.00,14,27,35,42,87,120,160,180,630,630,630,630,3167,0,17,37,2,773,199
"1592146059","480","","Aggregated",49.40,0.00,14,24,33,40,78,120,160,180,630,630,630,630,3242,0,17,37,2,773,197
"1592146061","520","","Aggregated",48.50,0.00,13,19,29,35,75,99,170,200,790,790,790,790,3373,0,17,37,2,793,207
"1592146063","520","","Aggregated",49.90,0.00,13,20,28,34,71,110,170,290,790,790,790,790,3486,0,17,37,2,793,204
"1592146065","520","","Aggregated",50.60,0.00,13,20,31,35,69,110,170,290,790,790,790,790,3575,0,16,36,2,793,202
"1592146067","520","","Aggregated",50.50,0.00,12,17,28,33,69,110,180,300,790,790,790,790,3686,0,16,36,2,793,203
"1592146069","520","","Aggregated",51.60,0.00,11,16,28,32,71,110,180,300,680,680,680,680,3793,0,16,36,2,793,208
"1592146071","560","","Aggregated",55.20,0.00,11,16,27,32,62,120,180,570,660,660,660,660,3918,0,16,36,2,793,216
