"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592147200","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592147202","40","","Aggregated",0.00,0.00,630,640,640,640,650,660,660,660,660,660,660,660,40,0,630,622,457,658,129
"1592147204","40","","Aggregated",0.00,0.00,630,640,640,640,650,660,660,660,660,660,660,660,40,0,630,622,457,658,129
"1592147206","40","","Aggregated",10.00,0.00,630,640,640,640,650,660,660,660,660,660,660,660,42,0,630,594,17,658,130
"1592147208","40","","Aggregated",6.67,0.00,630,630,640,640,650,660,890,890,890,890,890,890,48,0,630,541,10,890,430
"1592147210","51","","Aggregated",5.88,0.00,620,630,640,640,650,660,660,890,890,890,890,890,58,0,620,454,10,890,377
"1592147212","80","","Aggregated",5.56,0.00,340,600,620,630,640,650,660,660,890,890,890,890,105,0,340,351,10,890,262
"1592147214","80","","Aggregated",6.50,0.00,91,270,310,330,350,370,380,890,890,890,890,890,111,0,320,334,10,890,254
"1592147216","80","","Aggregated",6.90,0.00,63,230,300,320,350,360,380,890,890,890,890,890,126,0,280,298,10,890,240
"1592147218","80","","Aggregated",8.50,0.00,54,160,280,310,350,360,370,380,380,380,380,380,140,0,200,272,10,890,230
"1592147220","97","","Aggregated",9.20,0.00,40,46,51,58,69,94,97,110,110,110,110,110,156,0,91,248,8,890,218
"1592147222","120","","Aggregated",9.70,0.00,52,120,160,170,210,230,240,240,240,240,240,240,215,0,130,216,8,890,191
"1592147224","120","","Aggregated",10.90,0.00,52,120,150,170,210,230,240,240,750,750,750,750,232,0,97,206,8,890,250
"1592147226","120","","Aggregated",12.20,0.00,58,110,150,170,210,230,240,240,750,750,750,750,254,0,75,192,8,890,239
"1592147228","120","","Aggregated",12.60,0.00,52,96,150,170,210,230,240,240,750,750,750,750,272,0,66,182,8,890,230
"1592147230","128","","Aggregated",12.90,0.00,37,47,54,61,72,87,100,750,750,750,750,750,297,0,60,170,8,890,222
"1592147232","160","","Aggregated",14.30,0.00,51,74,100,120,170,220,290,300,750,750,750,750,366,0,65,160,8,890,241
"1592147234","160","","Aggregated",14.60,0.00,44,70,100,120,170,220,290,300,750,750,750,750,388,0,61,152,8,890,235
"1592147236","160","","Aggregated",15.20,0.00,38,61,84,120,170,220,250,300,750,750,750,750,419,0,54,143,8,890,227
"1592147238","160","","Aggregated",16.20,0.00,41,61,88,110,160,220,250,300,750,750,750,750,451,0,53,136,8,890,220
"1592147240","180","","Aggregated",17.60,0.00,29,38,47,55,73,88,130,130,750,750,750,750,480,0,50,130,8,890,214
"1592147242","200","","Aggregated",18.30,0.00,38,65,92,240,300,360,400,1200,1300,1300,1300,1300,545,0,55,142,7,1275,252
"1592147244","200","","Aggregated",17.90,0.00,38,63,88,230,300,360,420,1200,1300,1300,1300,1300,583,0,51,135,7,1275,266
"1592147246","200","","Aggregated",19.70,0.00,36,60,88,230,300,370,560,1200,1300,1300,1300,1300,619,0,48,130,7,1275,280
"1592147248","200","","Aggregated",19.90,0.00,34,52,76,200,300,370,560,1200,1300,1300,1300,1300,662,0,46,123,7,1275,270
"1592147250","223","","Aggregated",20.90,0.00,26,35,42,47,57,81,560,1200,1300,1300,1300,1300,687,0,45,120,7,1275,265
"1592147252","240","","Aggregated",20.50,0.00,33,47,61,77,130,210,300,560,880,880,880,880,766,0,46,117,7,1275,268
