"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592155493","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592155495","234","","Aggregated",0.00,0.00,330,440,470,500,620,750,790,820,820,820,820,820,166,0,64,184,4,815,121
"1592155497","461","","Aggregated",69.00,0.00,390,520,600,680,820,930,1000,1100,1200,1200,1200,1200,440,0,300,353,4,1177,122
"1592155499","679","","Aggregated",102.50,0.00,220,340,450,520,710,840,980,1100,1200,1200,1200,1200,675,0,190,270,4,1177,123
"1592155501","907","","Aggregated",106.50,0.00,170,260,370,440,630,770,940,1000,1200,1200,1200,1200,928,0,140,234,4,1177,123
"1592155503","1137","","Aggregated",111.88,0.00,150,250,340,420,580,740,930,1100,5900,6500,6500,6500,1173,0,140,235,4,6548,159
"1592155505","1300","","Aggregated",114.40,0.00,180,280,390,430,600,740,970,1100,5900,6500,6500,6500,1501,0,190,284,4,6548,151
"1592155507","1300","","Aggregated",134.20,0.00,140,250,360,430,600,760,1200,1400,6000,6500,6500,6500,1729,0,170,280,3,6548,172
"1592155509","1300","","Aggregated",129.50,0.00,150,260,370,430,600,770,1200,1400,6200,6500,6500,6500,1955,0,150,269,3,6548,180
"1592155511","1300","","Aggregated",128.50,0.00,160,250,350,420,600,780,1200,1400,6200,6200,6200,6200,2220,0,140,256,3,6548,186
"1592155513","1300","","Aggregated",129.30,0.00,110,180,240,280,460,730,1200,1500,6200,6200,6200,6200,2467,0,130,245,3,6548,191
"1592155515","1300","","Aggregated",129.20,0.00,81,130,170,190,260,350,510,1100,6200,6200,6200,6200,2733,0,130,236,3,6548,194
"1592155517","1300","","Aggregated",124.10,0.00,100,160,190,220,280,380,520,740,5400,6200,6200,6200,3027,0,130,231,3,6548,192
"1592155519","1300","","Aggregated",127.10,0.00,93,150,180,210,270,350,480,620,5400,5900,5900,5900,3265,0,120,221,3,6548,191
"1592155521","1300","","Aggregated",132.50,0.00,93,150,190,220,300,420,520,650,6300,7200,7200,7200,3511,0,120,222,3,7168,194
"1592155523","1300","","Aggregated",129.50,0.00,89,140,180,210,270,380,480,540,6300,7200,7200,7200,3797,0,120,214,3,7168,196
"1592155525","1300","","Aggregated",131.90,0.00,92,150,200,230,340,410,490,660,6300,7200,7200,7200,4021,0,120,215,3,7168,199
"1592155527","1300","","Aggregated",124.30,0.00,83,130,170,210,320,410,530,1000,6300,7200,7200,7200,4294,0,110,209,3,7168,200
"1592155529","1300","","Aggregated",127.50,0.00,60,100,140,170,270,390,510,950,6300,7200,7200,7200,4560,0,98,199,2,7168,199
"1592155531","1300","","Aggregated",126.30,0.00,55,85,110,130,230,360,450,780,5200,6300,6300,6300,4805,0,95,193,2,7168,195
"1592155533","1300","","Aggregated",128.30,0.00,61,100,140,200,310,380,470,660,4200,4800,4800,4800,5069,0,96,192,2,7168,194
"1592155535","1300","","Aggregated",128.20,0.00,54,86,110,140,240,310,370,420,2500,4100,4100,4100,5324,0,93,187,2,7168,193
"1592155537","1300","","Aggregated",131.90,0.00,80,130,170,210,310,380,510,590,6000,6400,6400,6400,5615,0,97,191,2,7168,197
"1592155539","1300","","Aggregated",129.60,0.00,87,140,190,220,310,390,530,620,6200,6400,6400,6400,5835,0,94,188,2,7168,199
"1592155541","1300","","Aggregated",129.80,0.00,94,150,200,230,320,410,560,660,6200,6400,6400,6400,6068,0,96,189,2,7168,203
